fila,arete_siniiga,numero_fuego,categoria,fierro,notas
1,,1828,VACA,R,
2,,2379,VACA,R,"ORIGINAL: arete transcrito como 072005 (6 digitos, incompleto - le falta el numero grande). Cargado sin arete usando el quemado. Verificar arete real contra el animal fisico."
3,,2210,VACA,R,
4,,1882,VACA,R,
5,,2053,VACA,R,
6,,1705,VACA,R,
7,,1538,VACA,R,
8,,1704,VACA,R,
9,,1821,VACA,R,
10,,1683,VACA,R,
11,0721391932,23106,VACA,R,
12,0720661251,2367,VACA,R,
13,,2037,VACA,R,
14,,1537,VACA,R,
15,,1778,VACA,R,
16,,1450,VACA,R,
17,,2010,VACA,R,
18,,1973,VACA,R,
19,0715295469,1993,VACA,R,
20,,1843,VACA,R,
21,,2571,VACA,R,
22,0720053379,2311,VACA,R,
23,0719128594,21124,VACA,R,
24,,1762,VACA,R,
25,,2105,VACA,R,
26,,1837,VACA,R,
27,,2124,VACA,R,
28,0722090575,2365,VACA,R,
29,,2421,VACA,R,
30,,2295,VACA,R,
31,,1875,VACA,R,
32,,1969,VACA,R,
33,,1990,VACA,R,
34,,1841,VACA,R,
35,0720152227,2297,VACA,R,
36,,2411,VACA,R,
37,0720053203,1660,VACA,R,
38,,1757,VACA,R,
39,,1852,VACA,R,
40,,1753,VACA,R,
41,,1710,VACA,R,
42,,1901,VACA,R,"QUEMADO DUPLICADO dentro del lote (ver tambien fila 170) - sin arete que distinga, verificar en campo si son dos animales reales o el mismo anotado dos veces"
43,,2122,VACA,R,
44,,21116,VACA,R,
45,0720661234,22111,VACA,R,
46,,2114,VACA,R,
47,0720152498,1557,VACA,R,
48,,1838,VACA,R,
49,,1914,VACA,R,
50,,1936,VACA,R,
51,,1653,VACA,R,
52,0718436886,21127,VACA,R,
53,,1899,VACA,R,
54,,2410,VACA,R,
55,,1428,VACA,R,
56,,1646,VACA,R,
57,0720053305,2229,VACA,R,
58,0720053381,2215,VACA,R,"Quemado 2215 tambien aparece en fila 79 con arete distinto (0722090627) - dos animales reales, sin conflicto real ya que ambos tienen arete propio"
59,0721391899,2389,VACA,R,
60,,03,VACA,R,"Quemado de solo 2 digitos - inusual, verificar si es correcto"
61,,2307,VACA,R,
62,,2239,VACA,R,
63,,1445,VACA,R,
64,,2206,VACA,R,
65,,19122,VACA,R,
66,,1531,VACA,R,
67,0719376074,2254,VACA,R,
68,,19127,VACA,R,
69,,1879,VACA,R,
70,,1706,VACA,R,
71,,1554,VACA,R,
72,,2455,VACA,R,
73,,1729,VACA,R,
74,0720053370,1507,VACA,R,
75,,21120,VACA,R,
76,,1786,VACA,R,
77,,1966,VACA,R,
78,0718127727,21134,VACA,R,
79,0722090627,2215,VACA,R,"Quemado 2215 tambien aparece en fila 58 con arete distinto (0720053381) - dos animales reales, sin conflicto real ya que ambos tienen arete propio"
80,,1816,VACA,R,
81,,1426,VACA,R,
82,,1703,VACA,R,
83,,1811,VACA,R,
84,,1912,VACA,R,
85,,1894,VACA,R,
86,,1558,VACA,R,
87,0720053210,1823,VACA,R,
88,,1712,VACA,R,
89,,1960,VACA,R,
90,0720053273,2224,VACA,R,
91,0719128554,2228,VACA,R,
92,0721391942,2553,VACA,R,
93,,1874,VACA,R,
94,,19120,VACA,R,
95,,1941,VACA,R,
96,,1996,VACA,R,
97,,1730,VACA,R,
98,0720121910,1877,VACA,R,
99,0722090672,2412,VACA,R,
100,,19105,VACA,R,
101,,1923,VACA,R,
102,,2431,VACA,R,
103,0720661546,2288,VACA,R,
104,0720053348,2244,VACA,R,
105,,2005,VACA,R,
106,,1870,VACA,R,"QUEMADO DUPLICADO dentro del lote (ver tambien fila 121) - sin arete que distinga, verificar en campo"
107,,1795,VACA,R,
108,,1714,VACA,R,
109,,1742,VACA,R,
110,,1527,VACA,R,
111,,1780,VACA,R,
112,,1654,VACA,R,
113,,1977,VACA,R,
114,,1744,VACA,R,
115,,1363,VACA,R,
116,,1668,VACA,R,
117,,1887,VACA,R,
118,,1756,VACA,R,
119,,1540,VACA,R,
120,0717184328,2047,VACA,R,
121,,1870,VACA,R,"QUEMADO DUPLICADO dentro del lote (ver tambien fila 106) - sin arete que distinga, verificar en campo"
122,,1419,VACA,R,
123,,1891,VACA,R,
124,,21131,VACA,R,
125,,1929,VACA,R,
126,,1883,VACA,R,
127,,1878,VACA,R,
128,,1643,VACA,R,
129,,1755,VACA,R,
130,,1774,VACA,R,
131,,1699,VACA,R,
132,,1513,VACA,R,
133,,12,TORO,R,"Numero de control interno consecutivo de toros (secuencia separada de las vacas). Original en libreta: '12 TORO'."
134,,1867,VACA,R,
135,,1723,VACA,R,
136,,19102,VACA,R,
137,,2062,VACA,R,
138,0722090602,24101,VACA,R,
139,0715690197,19106,VACA,R,
140,,1520,VACA,R,
141,0720661231,2534,VACA,R,
142,,1666,VACA,R,
143,,1733,VACA,R,
144,,2170,VACA,R,
145,,1713,VACA,R,
146,,2167,VACA,R,
147,0720053271,2207,VACA,R,
148,,1746,VACA,R,
149,0718436811,2191,VACA,R,
150,,1662,VACA,R,
151,,1720,VACA,R,
152,0720121969,1454,VACA,R,
153,0720661212,2290,VACA,R,
154,0720152485,1411,VACA,R,
155,,19137,VACA,R,
156,0720053317,2225,VACA,R,
157,,1818,VACA,R,
158,,2336,VACA,R,
159,,2142,VACA,R,
160,0720661250,2346,VACA,R,
161,0715690247,19124,VACA,R,
162,0722090584,23106,VACA,R,"Quemado 23106 tambien aparece en fila 11 con arete distinto (0721391932) - dos animales reales"
163,,2347,VACA,R,
164,,1686,VACA,R,
165,,1794,VACA,R,
166,,1678,VACA,R,
167,0720152506,1732,VACA,R,
168,0720661213,22105,VACA,R,
169,0720661235,2345,VACA,R,
170,,1901,VACA,R,"QUEMADO DUPLICADO dentro del lote (ver tambien fila 42) - sin arete que distinga, verificar en campo"
171,0720152490,1621,VACA,R,
172,,2021,VACA,R,
173,0720152442,1779,VACA,R,
174,0720152511,1422,VACA,R,
175,,1803,VACA,R,
176,,1908,VACA,R,
177,0720152484,1452,VACA,R,
178,,1722,VACA,R,
179,,1958,VACA,R,
180,0720152228,2279,VACA,R,
181,,1925,VACA,R,
182,,1649,VACA,R,
183,,2387,VACA,R,
184,,1986,VACA,R,
185,,1889,VACA,R,
186,,2014,VACA,R,
187,,2182,VACA,R,
188,,1523,VACA,R,
189,0721392931,2391,VACA,R,
190,,2066,VACA,R,
191,,1166,VACA,R,
192,,1709,VACA,R,
193,0720152486,1447,VACA,R,
194,,1775,VACA,R,
195,,1928,VACA,R,
196,,1839,VACA,R,
197,,2221,VACA,R,
198,0720053386,2293,VACA,R,
199,0715295525,1948,VACA,R,
200,,21141,VACA,R,
201,0720053272,2227,VACA,R,
